id,Year,Code,Title,Credits,Semester,Original,1stResit,2ndResit,Final,Outcome
1,2026/27,CHEM3027,BSc Chemistry Project,30,Full Year UK,,,,,
2,2026/27,CHEM3063,"Catalysis, Bioinorganic and Supramolecular Chemistry",20,Full Year UK,,,,,
3,2026/27,CHEM3064,"Chemical Bonding, Reactivity and Surfaces",20,Full Year UK,,,,,
4,2026/27,CHEM3065,Synthesis and Reactive Intermediates,20,Full Year UK,,,,,
5,2026/27,CHEM3004,"Protein Structure and Function, Biospectroscopy and Bioinformatics",10,Autumn,,,,,
6,2026/27,CHEM3022,Contemporary Drug Discovery ,10,Full Year UK,,,,,
7,2026/27,CHEM3024,Topics in Inorganic and Sustainable Chemistry,10,Spring,,,,,
8,2025/26,CHEM2006,Principles in Analytical Chemistry,10,Autumn UK,60,,,,Pass
9,2025/26,CHEM2003,Core Laboratory Work A,30,Full Year UK,52,,,,Pass
10,2025/26,CHEM2007,General Inorganic Chemistry,20,Full Year UK,57,,,,Pass
11,2025/26,CHEM2010,Synthesis and Spectroscopy,20,Full Year UK,53,,,,Pass
12,2025/26,CHEM2017,"Energy, Spectroscopy, and Solid State Chemistry",20,Full Year UK,61,,,,Pass
13,2025/26,CHEM2011,Medicinal Chemistry and Molecular Biology,10,Spring UK,49,,,,Pass
14,2025/26,PHAR2062,Intro to Python for Chemical and Pharmaceutical Sciences,10,Spring UK,74,,,,Pass
15,2024/25,CHEM1009,An Introduction to Organic Molecules and their Reactivity,20,Full Year UK,56,,,,Pass
16,2024/25,CHEM1011,"An Introduction to Spectroscopy, Energy and Bonding in Chemistry",20,Full Year UK,47,,,,Pass
17,2024/25,CHEM1010,"An Introduction to Structure, Periodicity and Coordination Chemistry",20,Full Year UK,52,,,,Pass
18,2024/25,CHEM1016,Calculations in Chemistry,10,Full Year UK,62,,,,Pass
19,2024/25,CHEM1004,Chemistry Study Skills,10,Autumn UK,60,,,,Pass
20,2024/25,CHEM1002,Foundation Laboratory Work,20,Full Year UK,46,,,,Pass
21,2024/25,CHEM1008,Frontiers in Chemistry,10,Full Year UK,53,,,,Pass
22,2024/25,CHEM1019,Molecules of Life,10,Spring UK,59,,,,Pass
